Competition,Week,Game Start Time,Division,Court,Team 1,Team 2,Duty Team,Game End Time,Event Title,Start Date,End Date,Google Calendar URL
SML4,1,5:00 pm,B2,3,Jerrys Goons,Spike Wazowski,Step-Libro,6:00 pm,Jerrys Goons vs. Spike Wazowski (Duty: Step-Libro),20250503T170000,20250503T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Jerrys Goons vs. Spike Wazowski (Duty: Step-Libro)&dates=20250503T170000/20250503T180000
SML4,1,6:00 pm,B2,0,Plant the Spike,Vertically Challenged B,Jerrys Goons,7:00 pm,Plant the Spike vs. Vertically Challenged B (Duty: Jerrys Goons),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Plant the Spike vs. Vertically Challenged B (Duty: Jerrys Goons)&dates=20250503T180000/20250503T190000
SML4,1,6:00 pm,C,1,Soft Serve,Selective Supremacy,Nathan's Angels,7:00 pm,Soft Serve vs. Selective Supremacy (Duty: Nathan's Angels),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Soft Serve vs. Selective Supremacy (Duty: Nathan's Angels)&dates=20250503T180000/20250503T190000
SCL,1,6:00 pm,Challenger League,2,Big Diggers,Xiangxia Challengers,Chicken Jockey,7:00 pm,Big Diggers vs. Xiangxia Challengers (Duty: Chicken Jockey),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Big Diggers vs. Xiangxia Challengers (Duty: Chicken Jockey)&dates=20250503T180000/20250503T190000
SML4,1,6:00 pm,B2,3,VolleyBawlers,Step-Libro,Spike Wazowski,7:00 pm,VolleyBawlers vs. Step-Libro (Duty: Spike Wazowski),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Step-Libro (Duty: Spike Wazowski)&dates=20250503T180000/20250503T190000
SML4,1,7:00 pm,B1,0,Froggers,Team Name,Norths,8:00 pm,Froggers vs. Team Name (Duty: Norths),20250503T190000,20250503T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Froggers vs. Team Name (Duty: Norths)&dates=20250503T190000/20250503T200000
SML4,1,7:00 pm,C,1,Vertically Challenged C,Nathan's Angels,Soft Serve,8:00 pm,Vertically Challenged C vs. Nathan's Angels (Duty: Soft Serve),20250503T190000,20250503T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Vertically Challenged C vs. Nathan's Angels (Duty: Soft Serve)&dates=20250503T190000/20250503T200000
SCL,1,8:00 pm,Challenger League,2,Backpain Spikers,Chicken Jockey,Big Diggers,9:00 pm,Backpain Spikers vs. Chicken Jockey (Duty: Big Diggers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Chicken Jockey (Duty: Big Diggers)&dates=20250503T200000/20250503T210000
SCL,1,8:00 pm,Challenger League,3,Harder Spikes United,Bossleybears Dev,Xiangxia Challengers,9:00 pm,Harder Spikes United vs. Bossleybears Dev (Duty: Xiangxia Challengers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Bossleybears Dev (Duty: Xiangxia Challengers)&dates=20250503T200000/20250503T210000
SML4,1,8:00 pm,B1,0,Pancakes,Mr Zengs Lanzhou Volleyball,Froggers,9:00 pm,Pancakes vs. Mr Zengs Lanzhou Volleyball (Duty: Froggers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Pancakes vs. Mr Zengs Lanzhou Volleyball (Duty: Froggers)&dates=20250503T200000/20250503T210000
SML4,1,8:00 pm,C,1,Xiangxia Sitters,The Breakfast Club,Vertically Challenged C,9:00 pm,Xiangxia Sitters vs. The Breakfast Club (Duty: Vertically Challenged C),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. The Breakfast Club (Duty: Vertically Challenged C)&dates=20250503T200000/20250503T210000
SML4,1,8:00 pm,B1,5,Sparrowbears,Norths,Team Name,9:00 pm,Sparrowbears vs. Norths (Duty: Team Name),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Norths (Duty: Team Name)&dates=20250503T200000/20250503T210000
SML4,2,5:00 pm,B2,3,Jerrys Goons,Vertically Challenged B,Plant the Spike,6:00 pm,Jerrys Goons vs. Vertically Challenged B (Duty: Plant the Spike),20250510T170000,20250510T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Jerrys Goons vs. Vertically Challenged B (Duty: Plant the Spike)&dates=20250510T170000/20250510T180000
SML4,2,6:00 pm,B2,0,Plant the Spike,Step-Libro,Jerrys Goons,7:00 pm,Plant the Spike vs. Step-Libro (Duty: Jerrys Goons),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Plant the Spike vs. Step-Libro (Duty: Jerrys Goons)&dates=20250510T180000/20250510T190000
SML4,2,6:00 pm,C,1,Nathan's Angels,Soft Serve,Vertically Challenged C,7:00 pm,Nathan's Angels vs. Soft Serve (Duty: Vertically Challenged C),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Nathan's Angels vs. Soft Serve (Duty: Vertically Challenged C)&dates=20250510T180000/20250510T190000
SCL,2,6:00 pm,Challenger League,2,Xiangxia Challengers,Chicken Jockey,Harder Spikes United,7:00 pm,Xiangxia Challengers vs. Chicken Jockey (Duty: Harder Spikes United),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Challengers vs. Chicken Jockey (Duty: Harder Spikes United)&dates=20250510T180000/20250510T190000
SML4,2,6:00 pm,B2,3,VolleyBawlers,Spike Wazowski,Vertically Challenged B,7:00 pm,VolleyBawlers vs. Spike Wazowski (Duty: Vertically Challenged B),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Spike Wazowski (Duty: Vertically Challenged B)&dates=20250510T180000/20250510T190000
SML4,2,7:00 pm,B1,0,Sparrowbears,Team Name,Pancakes,8:00 pm,Sparrowbears vs. Team Name (Duty: Pancakes),20250510T190000,20250510T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Team Name (Duty: Pancakes)&dates=20250510T190000/20250510T200000
SML4,2,7:00 pm,C,1,Vertically Challenged C,The Breakfast Club,Selective Supremacy,8:00 pm,Vertically Challenged C vs. The Breakfast Club (Duty: Selective Supremacy),20250510T190000,20250510T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Vertically Challenged C vs. The Breakfast Club (Duty: Selective Supremacy)&dates=20250510T190000/20250510T200000
SCL,2,8:00 pm,Challenger League,2,Backpain Spikers,Harder Spikes United,Chicken Jockey,9:00 pm,Backpain Spikers vs. Harder Spikes United (Duty: Chicken Jockey),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Harder Spikes United (Duty: Chicken Jockey)&dates=20250510T200000/20250510T210000
SCL,2,8:00 pm,Challenger League,3,Bossleybears Dev,Big Diggers,Xiangxia Challengers,9:00 pm,Bossleybears Dev vs. Big Diggers (Duty: Xiangxia Challengers),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Bossleybears Dev vs. Big Diggers (Duty: Xiangxia Challengers)&dates=20250510T200000/20250510T210000
SML4,2,8:00 pm,B1,0,Norths,Mr Zengs Lanzhou Volleyball,Team Name,9:00 pm,Norths vs. Mr Zengs Lanzhou Volleyball (Duty: Team Name),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Norths vs. Mr Zengs Lanzhou Volleyball (Duty: Team Name)&dates=20250510T200000/20250510T210000
SML4,2,8:00 pm,C,1,Xiangxia Sitters,Selective Supremacy,The Breakfast Club,9:00 pm,Xiangxia Sitters vs. Selective Supremacy (Duty: The Breakfast Club),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. Selective Supremacy (Duty: The Breakfast Club)&dates=20250510T200000/20250510T210000
SML4,2,8:00 pm,B1,5,Pancakes,Froggers,Sparrowbears,9:00 pm,Pancakes vs. Froggers (Duty: Sparrowbears),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Pancakes vs. Froggers (Duty: Sparrowbears)&dates=20250510T200000/20250510T210000
SML4,3,5:00 pm,B2,3,VolleyBawlers,Vertically Challenged B,Xiangxia Sitters,6:00 pm,VolleyBawlers vs. Vertically Challenged B (Duty: Xiangxia Sitters),20250517T170000,20250517T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Vertically Challenged B (Duty: Xiangxia Sitters)&dates=20250517T170000/20250517T180000
SML4,3,6:00 pm,B1,0,Norths,Pancakes,Sparrowbears,7:00 pm,Norths vs. Pancakes (Duty: Sparrowbears),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Norths vs. Pancakes (Duty: Sparrowbears)&dates=20250517T180000/20250517T190000
SML4,3,6:00 pm,C,1,Xiangxia Sitters,Soft Serve,Vertically Challenged B,7:00 pm,Xiangxia Sitters vs. Soft Serve (Duty: Vertically Challenged B),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. Soft Serve (Duty: Vertically Challenged B)&dates=20250517T180000/20250517T190000
SCL,3,6:00 pm,Challenger League,2,Backpain Spikers,Bossleybears Dev,Big Diggers,7:00 pm,Backpain Spikers vs. Bossleybears Dev (Duty: Big Diggers),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Bossleybears Dev (Duty: Big Diggers)&dates=20250517T180000/20250517T190000
SML4,3,6:00 pm,B2,3,Nathan's Angels,The Breakfast Club,VolleyBawlers,7:00 pm,Nathan's Angels vs. The Breakfast Club (Duty: VolleyBawlers),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Nathan's Angels vs. The Breakfast Club (Duty: VolleyBawlers)&dates=20250517T180000/20250517T190000
SML4,3,7:00 pm,B1,0,Sparrowbears,Froggers,Mr Zengs Lanzhou Volleyball,8:00 pm,Sparrowbears vs. Froggers (Duty: Mr Zengs Lanzhou Volleyball),20250517T190000,20250517T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Froggers (Duty: Mr Zengs Lanzhou Volleyball)&dates=20250517T190000/20250517T200000
SML4,3,7:00 pm,C,1,Vertically Challenged C,Selective Supremacy,Spike Wazowski,8:00 pm,Vertically Challenged C vs. Selective Supremacy (Duty: Spike Wazowski),20250517T190000,20250517T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Vertically Challenged C vs. Selective Supremacy (Duty: Spike Wazowski)&dates=20250517T190000/20250517T200000
SCL,3,8:00 pm,Challenger League,2,Chicken Jockey,Big Diggers,Bossleybears Dev,9:00 pm,Chicken Jockey vs. Big Diggers (Duty: Bossleybears Dev),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Chicken Jockey vs. Big Diggers (Duty: Bossleybears Dev)&dates=20250517T200000/20250517T210000
SCL,3,8:00 pm,Challenger League,3,Harder Spikes United,Xiangxia Challengers,Backpain Spikers,9:00 pm,Harder Spikes United vs. Xiangxia Challengers (Duty: Backpain Spikers),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Xiangxia Challengers (Duty: Backpain Spikers)&dates=20250517T200000/20250517T210000
SML4,3,8:00 pm,B1,0,Mr Zengs Lanzhou Volleyball,Team Name,Froggers,9:00 pm,Mr Zengs Lanzhou Volleyball vs. Team Name (Duty: Froggers),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Mr Zengs Lanzhou Volleyball vs. Team Name (Duty: Froggers)&dates=20250517T200000/20250517T210000
SML4,3,8:00 pm,C,1,Plant the Spike,Jerrys Goons,Selective Supremacy,9:00 pm,Plant the Spike vs. Jerrys Goons (Duty: Selective Supremacy),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Plant the Spike vs. Jerrys Goons (Duty: Selective Supremacy)&dates=20250517T200000/20250517T210000
SML4,3,8:00 pm,B2,5,Step-Libro,Spike Wazowski,Vertically Challenged C,9:00 pm,Step-Libro vs. Spike Wazowski (Duty: Vertically Challenged C),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Step-Libro vs. Spike Wazowski (Duty: Vertically Challenged C)&dates=20250517T200000/20250517T210000
SML4,4,5:00 pm,B2,3,VolleyBawlers,Plant the Spike,Step-Libro,6:00 pm,VolleyBawlers vs. Plant the Spike (Duty: Step-Libro),20250524T170000,20250524T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Plant the Spike (Duty: Step-Libro)&dates=20250524T170000/20250524T180000
SML4,4,6:00 pm,B2,0,Sparrowbears,Mr Zengs Lanzhou Volleyball,Plant the Spike,7:00 pm,Sparrowbears vs. Mr Zengs Lanzhou Volleyball (Duty: Plant the Spike),20250524T180000,20250524T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Mr Zengs Lanzhou Volleyball (Duty: Plant the Spike)&dates=20250524T180000/20250524T190000
SML4,4,6:00 pm,C,1,Vertically Challenged C,Soft Serve,The Breakfast Club,7:00 pm,Vertically Challenged C vs. Soft Serve (Duty: The Breakfast Club),20250524T180000,20250524T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Vertically Challenged C vs. Soft Serve (Duty: The Breakfast Club)&dates=20250524T180000/20250524T190000
SCL,4,6:00 pm,Challenger League,2,Xiangxia Challengers,Bossleybears Dev,Backpain Spikers,7:00 pm,Xiangxia Challengers vs. Bossleybears Dev (Duty: Backpain Spikers),20250524T180000,20250524T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Challengers vs. Bossleybears Dev (Duty: Backpain Spikers)&dates=20250524T180000/20250524T190000
SML4,4,6:00 pm,B2,3,Jerrys Goons,Step-Libro,VolleyBawlers,7:00 pm,Jerrys Goons vs. Step-Libro (Duty: VolleyBawlers),20250524T180000,20250524T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Jerrys Goons vs. Step-Libro (Duty: VolleyBawlers)&dates=20250524T180000/20250524T190000
SML4,4,7:00 pm,B1,0,Froggers,Norths,Pancakes,8:00 pm,Froggers vs. Norths (Duty: Pancakes),20250524T190000,20250524T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Froggers vs. Norths (Duty: Pancakes)&dates=20250524T190000/20250524T200000
SML4,4,7:00 pm,C,1,Selective Supremacy,The Breakfast Club,Soft Serve,8:00 pm,Selective Supremacy vs. The Breakfast Club (Duty: Soft Serve),20250524T190000,20250524T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Selective Supremacy vs. The Breakfast Club (Duty: Soft Serve)&dates=20250524T190000/20250524T200000
SCL,4,8:00 pm,Challenger League,2,Harder Spikes United,Chicken Jockey,Bossleybears Dev,9:00 pm,Harder Spikes United vs. Chicken Jockey (Duty: Bossleybears Dev),20250524T200000,20250524T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Chicken Jockey (Duty: Bossleybears Dev)&dates=20250524T200000/20250524T210000
SCL,4,8:00 pm,Challenger League,3,Backpain Spikers,Big Diggers,Harder Spikes United,9:00 pm,Backpain Spikers vs. Big Diggers (Duty: Harder Spikes United),20250524T200000,20250524T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Big Diggers (Duty: Harder Spikes United)&dates=20250524T200000/20250524T210000
SML4,4,8:00 pm,B1,0,Pancakes,Team Name,Norths,9:00 pm,Pancakes vs. Team Name (Duty: Norths),20250524T200000,20250524T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Pancakes vs. Team Name (Duty: Norths)&dates=20250524T200000/20250524T210000
SML4,4,8:00 pm,C,1,Xiangxia Sitters,Nathan's Angels,Selective Supremacy,9:00 pm,Xiangxia Sitters vs. Nathan's Angels (Duty: Selective Supremacy),20250524T200000,20250524T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. Nathan's Angels (Duty: Selective Supremacy)&dates=20250524T200000/20250524T210000
SML4,4,8:00 pm,B2,5,Spike Wazowski,Vertically Challenged B,Froggers,9:00 pm,Spike Wazowski vs. Vertically Challenged B (Duty: Froggers),20250524T200000,20250524T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Spike Wazowski vs. Vertically Challenged B (Duty: Froggers)&dates=20250524T200000/20250524T210000
SML4,5,5:00 pm,B2,3,Step-Libro,Vertically Challenged B,Xiangxia Sitters,6:00 pm,Step-Libro vs. Vertically Challenged B (Duty: Xiangxia Sitters),20250531T170000,20250531T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Step-Libro vs. Vertically Challenged B (Duty: Xiangxia Sitters)&dates=20250531T170000/20250531T180000
SML4,5,6:00 pm,B2,0,Norths,Team Name,Step-Libro,7:00 pm,Norths vs. Team Name (Duty: Step-Libro),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Norths vs. Team Name (Duty: Step-Libro)&dates=20250531T180000/20250531T190000
SML4,5,6:00 pm,C,1,Xiangxia Sitters,Vertically Challenged C,The Breakfast Club,7:00 pm,Xiangxia Sitters vs. Vertically Challenged C (Duty: The Breakfast Club),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Sitters vs. Vertically Challenged C (Duty: The Breakfast Club)&dates=20250531T180000/20250531T190000
SCL,5,6:00 pm,Challenger League,2,Bossleybears Dev,Chicken Jockey,Big Diggers,7:00 pm,Bossleybears Dev vs. Chicken Jockey (Duty: Big Diggers),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Bossleybears Dev vs. Chicken Jockey (Duty: Big Diggers)&dates=20250531T180000/20250531T190000
SML4,5,6:00 pm,B2,3,VolleyBawlers,Jerrys Goons,Vertically Challenged B,7:00 pm,VolleyBawlers vs. Jerrys Goons (Duty: Vertically Challenged B),20250531T180000,20250531T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Jerrys Goons (Duty: Vertically Challenged B)&dates=20250531T180000/20250531T190000
SML4,5,7:00 pm,B1,0,Sparrowbears,Pancakes,Mr Zengs Lanzhou Volleyball,8:00 pm,Sparrowbears vs. Pancakes (Duty: Mr Zengs Lanzhou Volleyball),20250531T190000,20250531T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Sparrowbears vs. Pancakes (Duty: Mr Zengs Lanzhou Volleyball)&dates=20250531T190000/20250531T200000
SML4,5,7:00 pm,C,1,Soft Serve,The Breakfast Club,Nathan's Angels,8:00 pm,Soft Serve vs. The Breakfast Club (Duty: Nathan's Angels),20250531T190000,20250531T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Soft Serve vs. The Breakfast Club (Duty: Nathan's Angels)&dates=20250531T190000/20250531T200000
SCL,5,8:00 pm,Challenger League,2,Harder Spikes United,Big Diggers,Bossleybears Dev,9:00 pm,Harder Spikes United vs. Big Diggers (Duty: Bossleybears Dev),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Big Diggers (Duty: Bossleybears Dev)&dates=20250531T200000/20250531T210000
SCL,5,8:00 pm,Challenger League,3,Backpain Spikers,Xiangxia Challengers,Chicken Jockey,9:00 pm,Backpain Spikers vs. Xiangxia Challengers (Duty: Chicken Jockey),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Xiangxia Challengers (Duty: Chicken Jockey)&dates=20250531T200000/20250531T210000
SML4,5,8:00 pm,B1,0,Mr Zengs Lanzhou Volleyball,Froggers,Sparrowbears,9:00 pm,Mr Zengs Lanzhou Volleyball vs. Froggers (Duty: Sparrowbears),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Mr Zengs Lanzhou Volleyball vs. Froggers (Duty: Sparrowbears)&dates=20250531T200000/20250531T210000
SML4,5,8:00 pm,C,1,Nathan's Angels,Selective Supremacy,Soft Serve,9:00 pm,Nathan's Angels vs. Selective Supremacy (Duty: Soft Serve),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Nathan's Angels vs. Selective Supremacy (Duty: Soft Serve)&dates=20250531T200000/20250531T210000
SML4,5,8:00 pm,B1,5,Plant the Spike,Spike Wazowski,Pancakes,9:00 pm,Plant the Spike vs. Spike Wazowski (Duty: Pancakes),20250531T200000,20250531T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Plant the Spike vs. Spike Wazowski (Duty: Pancakes)&dates=20250531T200000/20250531T210000
